2x4_Blue,-1.35,0,0,0,0.7071068,0,0.7071068,1.423025
2x4_Yellow,0,0,0.45,0,0,0,1,0
2x4_Blue,1.35,0,0,0,0.7071068,0,0.7071068,1.423025
2x4_Blue,0,0.6,0.45,0,0,0,1,0.6
2x2_Yellow,-1.35,0.6,0.45,0,0,0,1,1.477329
2x2_Yellow,1.35,0.6,0.45,0,0,0,1,1.477329
2x2_Blue,-1.35,1.2,0.45,0,0,0,1,1.806239
2x2_Blue,1.35,1.2,0.45,0,0,0,1,1.806239
2x4_Yellow,1.35,1.8,0,0,0.7071068,0,0.7071068,2.294559
2x4_Yellow,-1.35,1.8,0,0,0.7071068,0,0.7071068,2.294559
2x4_Blue,-0.9,2.4,-0.45,0,0,0,1,2.716616
2x2_Blue,1.35,2.4,-0.45,0,0,0,1,2.896981
2x2_Yellow,0.45,2.4,-0.45,0,0,0,1,2.602403
2x2_Yellow,-1.35,3,-0.45,0,0,0,1,3.410645
2x2_Yellow,1.35,3,-0.45,0,0,0,1,3.410645
2x2_Red,0,3,-0.45,0,0,0,1,3.132092


