2x2_Red,3.149844,-0.0002923608,0.8996881,2.794155E-08,5.960464E-07,1.257369E-08,1
2x2_Bule,3.14972,0.5997206,0.8995808,-2.235572E-08,2.980234E-08,-1.489982E-08,1
2x2_Red,3.149781,1.199781,0.8997264,2.794017E-08,-1.788139E-07,1.257344E-08,1
2x2_Red,0.45,0,0.8999999,2.79388E-08,-3.434909E-15,1.257048E-08,1
2x2_Bule,0.4498243,0.6,0.9,-2.235191E-08,-1.788139E-07,-1.490233E-08,1
2x2_Red,0.4498197,1.1997,0.8997597,2.794443E-08,2.98023E-08,1.257521E-08,1
2x4_Bule,0.45,1.8,0.9,0,0,0,1
2x4_Green,2.25,1.8,0.9,0,0,0,1
2x4_Yellow,1.35,1.2,0.9,0,0,0,1
2x2_Red,0.4492769,2.399036,0.8990358,2.793982E-08,-2.533197E-07,1.257335E-08,1
2x2_Bule,0.4500612,3.000245,0.9001834,-2.234815E-08,-3.576279E-07,-1.489974E-08,1
2x4_Red,1.35,3.6,1.8,0,1,0,0
