2x2_Red,0,0,0,0,0,0,1,0
2x2_Yellow,0,0.6,0,0,0,0,1,0.6
2x4_Red,0,1.2,0,0,0,0,1,1.2
2x4_Yellow,0,1.8,0,0,0,0,1,1.8
2x2_Red,-0.45,2.4,0,0,0,0,1,2.441823
2x4_Yellow,-0.9,3,0,0,0,0,1,3.132092
2x2_Red,-0.45,3.6,0,0,0,0,1,3.628016


2x2_Yellow,0,0,-0.9,0,0,0,1,0
2x2_Green,0,0.6,-0.9,0,0,0,1,0.6
2x4_Yellow,0.45,1.2,-0.9,0,0,0,1,1.281601
2x4_Green,0.45,1.8,-0.9,0,0,0,1,1.855398
2x2_Yellow,0,2.4,-0.9,0,0,0,1,2.4
2x4_Green,-0.45,3,-0.9,0,0,0,1,3.033562
2x2_Yellow,0,3.6,-0.9,0,0,0,1,3.6


2x2_Yellow,0,0,0,0,0,0,1,0
2x2_Green,0,0.6,0,0,0,0,1,0.6
2x4_Yellow,0,1.2,0,0,0,0,1,1.2
2x4_Green,0,1.8,0,0,0,0,1,1.8
2x2_Yellow,-0.45,2.4,0,0,0,0,1,2.441823
2x2_Green,-0.45,3,0,0,0,0,1,3.033562
2x4_Yellow,-0.9,3.6,0,0,0,0,1,3.710795
2x2_Green,-0.45,4.2,0,0,0,0,1,4.224038


